Year,Location,Sex,Geography,Value
2017,,,,82.5
2017,Urban,,,78.5
2017,Rural,,,87.6
2017,,Male,,83.9
2017,,Female,,79.8
2017,,,Western,89.1
2017,,,Central,82.2
2017,,,Greater Accra,73.9
2017,,,Volta,80.4
2017,,,Eastern,82
2017,,,Ashanti,89.6
2017,,,Brong Ahafo,83.2
2017,,,Northern,75
2017,,,Upper East,78.7
2017,,,Upper West,84.8
2013,,,,66.8
2013,Urban,,,60.7
2013,Rural,,,74.3
2013,,Male,,68.5
2013,,Female,,62.7
2013,,,Western,69.5
2013,,,Central,66.2
2013,,,Greater Accra,60.9
2013,,,Volta,65.3
2013,,,Eastern,74.6
2013,,,Ashanti,67.2
2013,,,Brong Ahafo,68.1
2013,,,Northern,66.2
2013,,,Upper East,61.7
2013,,,Upper West,75.8
