Year,Location,Sex,Geography,Value
2017,,,,44.3
2017,Urban,,,65
2017,Rural,,,17.9
2017,,Male,,44.2
2017,,Female,,44.5
2017,,,Western,38.6
2017,,,Central,41.5
2017,,,Greater Accra,90.5
2017,,,Volta,26.3
2017,,,Eastern,37
2017,,,Ashanti,46.1
2017,,,Brong Ahafo,23.4
2017,,,Northern,14.8
2017,,,Upper East,9.1
2017,,,Upper West,7.4
2013,,,,37.3
2013,Urban,,,59.4
2013,Rural,,,9.9
2013,,Male,,36.7
2013,,Female,,38.9
2013,,,Western,32.9
2013,,,Central,29.5
2013,,,Greater Accra,82.1
2013,,,Volta,19.4
2013,,,Eastern,30.4
2013,,,Ashanti,37.8
2013,,,Brong Ahafo,18.5
2013,,,Northern,12
2013,,,Upper East,7.3
2013,,,Upper West,11.7
2006,,,,16.3
2006,Urban,,,34.4
2006,Rural,,,2.6
2006,,Male,,15.9
2006,,Female,,17.3
2006,,,Western,7.5
2006,,,Central,12
2006,,,Greater Accra,45.9
2006,,,Volta,5.5
2006,,,Eastern,10.9
2006,,,Ashanti,20.5
2006,,,Brong Ahafo,4.8
2006,,,Northern,6.5
2006,,,Upper East,3
2006,,,Upper West,2.2
1999,,,,14.7
1999,Urban,,,34.1
1999,Rural,,,3.4
1999,,Male,,14.2
1999,,Female,,15.7
1999,,,Western,6.6
1999,,,Central,8.7
1999,,,Greater Accra,46.8
1999,,,Volta,4.8
1999,,,Eastern,8.9
1999,,,Ashanti,23.6
1999,,,Brong Ahafo,3.7
1999,,,Northern,0.4
1999,,,Upper East,10.8
1999,,,Upper West,1
