Year,Units,Value
1990,Percent,11.8
1991,Percent,13.8
1992,Percent,11.1
1993,Percent,15
1994,Percent,18.8
1995,Percent,20.5
1996,Percent,17.7
1997,Percent,17.4
1998,Percent,18.4
1999,Percent,16.4
2000,Percent,17.8
2001,Percent,18.2
2002,Percent,20
2003,Percent,20.8
2004,Percent,23.8
2005,Percent,23.9
2006,Percent,13.7
2007,Percent,15.8
2008,Percent,16
2009,Percent,15.6
2010,Percent,16.8
2011,Percent,19.6
2012,Percent,20.6
2013,Percent,15.2
2014,Percent,15.4
2015,Percent,16.3
2016,Percent,15.2
2017,Percent,15.6
