Year,Units,Value
1990,Percent,11.5
1991,Percent,12.1
1992,Percent,18.3
1993,Percent,23.4
1994,Percent,23.7
1995,Percent,20.8
1996,Percent,29.0
1997,Percent,36.2
1998,Percent,37.9
1999,Percent,34.2
2000,Percent,42.3
2001,Percent,40.4
2002,Percent,26.0
2003,Percent,26.5
2004,Percent,18.3
2005,Percent,15.3
2006,Percent,15.4
2007,Percent,12.1
2008,Percent,14.2
2009,Percent,18.2
2010,Percent,18.7
2011,Percent,13.8
2012,Percent,15.8
2013,Percent,23.5
2014,Percent,29.6
2015,Percent,30.7
2016,Percent,33.5
