Year,Units,Value
1990,Manufacturing value added per Capita (GhCedi),1.3294
1991,Manufacturing value added per Capita (GhCedi),1.5583
1992,Manufacturing value added per Capita (GhCedi),1.7682
1993,Manufacturing value added per Capita (GhCedi),2.398
1994,Manufacturing value added per Capita (GhCedi),3.0528
1995,Manufacturing value added per Capita (GhCedi),4.5484
1996,Manufacturing value added per Capita (GhCedi),6.0055
1997,Manufacturing value added per Capita (GhCedi),7.6483
1998,Manufacturing value added per Capita (GhCedi),9.0797
1999,Manufacturing value added per Capita (GhCedi),10.5822
2000,Manufacturing value added per Capita (GhCedi),12.9455
2001,Manufacturing value added per Capita (GhCedi),17.6696
2002,Manufacturing value added per Capita (GhCedi),22.184
2003,Manufacturing value added per Capita (GhCedi),29.1498
2004,Manufacturing value added per Capita (GhCedi),33.4802
2005,Manufacturing value added per Capita (GhCedi),39.3985
2006,Manufacturing value added per Capita (GhCedi),83.3553
2007,Manufacturing value added per Capita (GhCedi),88.9074
2008,Manufacturing value added per Capita (GhCedi),99.4156
2009,Manufacturing value added per Capita (GhCedi),105.8408
2010,Manufacturing value added per Capita (GhCedi),119.2868
2011,Manufacturing value added per Capita (GhCedi),152.2655
2012,Manufacturing value added per Capita (GhCedi),165.0844
2013,Manufacturing value added per Capita (GhCedi),549.5258
2014,Manufacturing value added per Capita (GhCedi),651.0187
2015,Manufacturing value added per Capita (GhCedi),741.0877
2016,Manufacturing value added per Capita (GhCedi),826.6106
2017,Manufacturing value added per Capita (GhCedi),908.8404
1974,Manufacturing value added as a proportion of GDP (%),10.7682
1975,Manufacturing value added as a proportion of GDP (%),13.9298
1976,Manufacturing value added as a proportion of GDP (%),13.1395
1977,Manufacturing value added as a proportion of GDP (%),10.7826
1978,Manufacturing value added as a proportion of GDP (%),8.6405
1979,Manufacturing value added as a proportion of GDP (%),8.6697
1980,Manufacturing value added as a proportion of GDP (%),7.8076
1981,Manufacturing value added as a proportion of GDP (%),5.9724
1982,Manufacturing value added as a proportion of GDP (%),3.6053
1983,Manufacturing value added as a proportion of GDP (%),3.8584
1984,Manufacturing value added as a proportion of GDP (%),6.3962
1985,Manufacturing value added as a proportion of GDP (%),11.5325
1986,Manufacturing value added as a proportion of GDP (%),11.1506
1987,Manufacturing value added as a proportion of GDP (%),9.882
1988,Manufacturing value added as a proportion of GDP (%),9.5638
1989,Manufacturing value added as a proportion of GDP (%),10.0066
1990,Manufacturing value added as a proportion of GDP (%),9.23
1991,Manufacturing value added as a proportion of GDP (%),8.7417
1992,Manufacturing value added as a proportion of GDP (%),8.6925
1993,Manufacturing value added as a proportion of GDP (%),9.3815
1994,Manufacturing value added as a proportion of GDP (%),9.1024
1995,Manufacturing value added as a proportion of GDP (%),9.3298
1996,Manufacturing value added as a proportion of GDP (%),8.6311
1997,Manufacturing value added as a proportion of GDP (%),9.0517
1998,Manufacturing value added as a proportion of GDP (%),8.9881
1999,Manufacturing value added as a proportion of GDP (%),9.0244
2000,Manufacturing value added as a proportion of GDP (%),9.0167
2001,Manufacturing value added as a proportion of GDP (%),9.0029
2002,Manufacturing value added as a proportion of GDP (%),9.0272
2003,Manufacturing value added as a proportion of GDP (%),8.9755
2004,Manufacturing value added as a proportion of GDP (%),8.7421
2005,Manufacturing value added as a proportion of GDP (%),8.6554
2006,Manufacturing value added as a proportion of GDP (%),9.7486
2007,Manufacturing value added as a proportion of GDP (%),8.5964
2008,Manufacturing value added as a proportion of GDP (%),7.5441
2009,Manufacturing value added as a proportion of GDP (%),6.7721
2010,Manufacturing value added as a proportion of GDP (%),6.3887
2011,Manufacturing value added as a proportion of GDP (%),6.4238
2012,Manufacturing value added as a proportion of GDP (%),5.6606
2013,Manufacturing value added as a proportion of GDP (%),11.745
2014,Manufacturing value added as a proportion of GDP (%),11.3266
2015,Manufacturing value added as a proportion of GDP (%),11.367
2016,Manufacturing value added as a proportion of GDP (%),11.1224
2017,Manufacturing value added as a proportion of GDP (%),10.4649
